seq,uptime_ms,status_flags,legacy_sample,status
9034,903569,0,,OK
9035,903669,0,,OK
9036,903769,0,,OK
9037,903869,0,,OK
9038,903969,0,,OK
9039,904069,0,,OK
9040,904169,0,,OK
9041,904269,0,,OK
9042,904369,0,,OK
9043,904469,0,,OK
