seq,uptime_ms,status_flags,legacy_sample,status
15938,1593970,0,,OK
15939,1594070,0,,OK
15940,1594170,0,,OK
15941,1594270,0,,OK
15942,1594370,0,,OK
15943,1594470,0,,OK
15944,1594570,0,,OK
15945,1594670,0,,OK
15946,1594770,0,,OK
15947,1594870,0,,OK
15948,1594970,0,,OK
15949,1595070,0,,OK
15950,1595170,0,,OK
15951,1595270,0,,OK
15952,1595370,0,,OK
15953,1595470,0,,OK
15954,1595570,0,,OK
15955,1595670,0,,OK
15956,1595770,0,,OK
15957,1595870,0,,OK
15958,1595970,0,,OK
15959,1596070,0,,OK
15960,1596170,0,,OK
15961,1596270,0,,OK
15962,1596370,0,,OK
15963,1596470,0,,OK
15964,1596570,0,,OK
15965,1596670,0,,OK
15966,1596770,0,,OK
15967,1596870,0,,OK
15968,1596970,0,,OK
15969,1597070,0,,OK
15970,1597170,0,,OK
15971,1597270,0,,OK
15972,1597370,0,,OK
15973,1597470,0,,OK
15974,1597570,0,,OK
15975,1597670,0,,OK
15976,1597770,0,,OK
15977,1597870,0,,OK
15978,1597970,0,,OK
15979,1598070,0,,OK
15980,1598170,0,,OK
15981,1598270,0,,OK
15982,1598370,0,,OK
15983,1598470,0,,OK
15984,1598570,0,,OK
15985,1598670,0,,OK
15986,1598770,0,,OK
15987,1598870,0,,OK
15988,1598970,0,,OK
15989,1599070,0,,OK
15990,1599170,0,,OK
15991,1599270,0,,OK
15992,1599370,0,,OK
15993,1599470,0,,OK
15994,1599570,0,,OK
15995,1599670,0,,OK
15996,1599770,0,,OK
15997,1599870,0,,OK
15998,1599970,0,,OK
15999,1600070,0,,OK
16000,1600170,0,,OK
16001,1600270,0,,OK
16002,1600370,0,,OK
16003,1600470,0,,OK
16004,1600570,0,,OK
16005,1600670,0,,OK
16006,1600770,0,,OK
16007,1600870,0,,OK
16008,1600970,0,,OK
16009,1601070,0,,OK
16010,1601170,0,,OK
16011,1601270,0,,OK
16012,1601370,0,,OK
16013,1601470,0,,OK
16014,1601570,0,,OK
16015,1601670,0,,OK
16016,1601770,0,,OK
16017,1601870,0,,OK
16018,1601970,0,,OK
16019,1602070,0,,OK
16020,1602170,0,,OK
16021,1602270,0,,OK
16022,1602370,0,,OK
16023,1602470,0,,OK
16024,1602570,0,,OK
16025,1602670,0,,OK
16026,1602770,0,,OK
16027,1602870,0,,OK
16028,1602970,0,,OK
16029,1603070,0,,OK
16030,1603170,0,,OK
16031,1603270,0,,OK
16032,1603370,0,,OK
16033,1603470,0,,OK
16034,1603570,0,,OK
16035,1603670,0,,OK
16036,1603770,0,,OK
16037,1603870,0,,OK
16038,1603970,0,,OK
16039,1604070,0,,OK
16040,1604170,0,,OK
16041,1604270,0,,OK
16042,1604370,0,,OK
16043,1604470,0,,OK
16044,1604570,0,,OK
16045,1604670,0,,OK
16046,1604770,0,,OK
16047,1604870,0,,OK
16048,1604970,0,,OK
16049,1605070,0,,OK
16050,1605170,0,,OK
16051,1605270,0,,OK
16052,1605370,0,,OK
16053,1605470,0,,OK
16054,1605570,0,,OK
16055,1605670,0,,OK
16056,1605770,0,,OK
16057,1605870,0,,OK
16058,1605970,0,,OK
16059,1606070,0,,OK
16060,1606170,0,,OK
16061,1606270,0,,OK
16062,1606370,0,,OK
16063,1606470,0,,OK
16064,1606570,0,,OK
16065,1606670,0,,OK
16066,1606770,0,,OK
16067,1606870,0,,OK
16068,1606970,0,,OK
16069,1607070,0,,OK
16070,1607170,0,,OK
16071,1607270,0,,OK
16072,1607370,0,,OK
16073,1607470,0,,OK
16074,1607570,0,,OK
16075,1607670,0,,OK
16076,1607770,0,,OK
16077,1607870,0,,OK
16078,1607970,0,,OK
16079,1608070,0,,OK
16080,1608170,0,,OK
16081,1608270,0,,OK
16082,1608370,0,,OK
16083,1608470,0,,OK
16084,1608570,0,,OK
16085,1608670,0,,OK
16086,1608770,0,,OK
16087,1608870,0,,OK
16088,1608970,0,,OK
16089,1609070,0,,OK
16090,1609170,0,,OK
16091,1609270,0,,OK
16092,1609370,0,,OK
16093,1609470,0,,OK
16094,1609570,0,,OK
16095,1609670,0,,OK
16096,1609770,0,,OK
16097,1609870,0,,OK
16098,1609970,0,,OK
16099,1610070,0,,OK
16100,1610170,0,,OK
16101,1610270,0,,OK
16102,1610370,0,,OK
16103,1610470,0,,OK
16104,1610570,0,,OK
16105,1610670,0,,OK
16106,1610770,0,,OK
16107,1610870,0,,OK
16108,1610970,0,,OK
16109,1611070,0,,OK
16110,1611170,0,,OK
16111,1611270,0,,OK
16112,1611370,0,,OK
16113,1611470,0,,OK
16114,1611570,0,,OK
16115,1611670,0,,OK
16116,1611770,0,,OK
16117,1611870,0,,OK
16118,1611970,0,,OK
16119,1612070,0,,OK
16120,1612170,0,,OK
16121,1612270,0,,OK
16122,1612370,0,,OK
16123,1612470,0,,OK
16124,1612570,0,,OK
16125,1612670,0,,OK
16126,1612770,0,,OK
16127,1612870,0,,OK
16128,1612970,0,,OK
16129,1613070,0,,OK
16130,1613170,0,,OK
16131,1613270,0,,OK
16132,1613370,0,,OK
16133,1613470,0,,OK
16134,1613570,0,,OK
16135,1613670,0,,OK
16136,1613770,0,,OK
16137,1613870,0,,OK
16138,1613970,0,,OK
16139,1614070,0,,OK
16140,1614170,0,,OK
16141,1614270,0,,OK
16142,1614370,0,,OK
16143,1614470,0,,OK
16144,1614570,0,,OK
16145,1614670,0,,OK
16146,1614770,0,,OK
16147,1614870,0,,OK
16148,1614970,0,,OK
16149,1615070,0,,OK
16150,1615170,0,,OK
16151,1615270,0,,OK
16152,1615370,0,,OK
16153,1615470,0,,OK
16154,1615570,0,,OK
16155,1615670,0,,OK
16156,1615770,0,,OK
16157,1615870,0,,OK
16158,1615970,0,,OK
16159,1616070,0,,OK
16160,1616170,0,,OK
16161,1616270,0,,OK
16162,1616370,0,,OK
16163,1616470,0,,OK
16164,1616570,0,,OK
