seq,rtt_ms,status
319,4.095800,OK
320,4.758300,OK
321,4.324900,OK
322,4.150700,OK
323,3.807200,OK
324,4.198700,OK
325,4.723700,OK
326,4.759400,OK
327,4.823800,OK
328,5.121300,OK
329,4.294400,OK
330,4.613400,OK
331,4.071300,OK
332,4.089400,OK
333,4.711600,OK
334,4.014800,OK
335,4.684500,OK
336,4.836100,OK
337,4.066500,OK
338,4.713000,OK
339,4.716500,OK
340,5.843700,OK
341,5.747800,OK
342,4.083900,OK
343,5.042000,OK
344,4.705100,OK
345,5.062800,OK
346,4.639800,OK
347,4.846600,OK
348,5.076000,OK
349,4.791200,OK
350,4.771300,OK
351,4.955900,OK
352,4.659800,OK
353,4.894200,OK
354,4.558800,OK
355,5.042900,OK
356,4.691000,OK
357,4.609600,OK
358,4.810800,OK
359,4.938100,OK
360,4.778200,OK
361,4.430700,OK
362,5.120300,OK
363,4.524900,OK
364,4.578400,OK
365,4.940300,OK
366,4.847900,OK
367,5.102200,OK
368,4.625800,OK
369,4.375200,OK
370,5.062000,OK
371,4.657200,OK
372,4.704900,OK
373,5.062400,OK
374,4.785700,OK
375,5.061600,OK
376,4.922400,OK
377,5.200300,OK
378,5.122200,OK
379,4.705000,OK
380,4.662000,OK
381,5.170200,OK
382,4.568100,OK
383,4.784500,OK
384,4.625600,OK
385,4.812000,OK
386,4.798000,OK
387,5.040800,OK
388,5.156500,OK
389,5.679000,OK
390,5.508700,OK
391,4.838700,OK
392,4.854600,OK
393,4.955000,OK
394,5.300200,OK
395,5.200400,OK
396,5.327500,OK
397,4.769600,OK
398,4.985900,OK
399,4.746300,OK
400,4.919000,OK
401,5.599600,OK
402,4.880600,OK
403,5.653200,OK
404,4.813600,OK
405,4.794800,OK
406,5.520400,OK
407,5.091300,OK
408,5.600600,OK
409,5.102300,OK
410,3.900600,OK
411,4.120100,OK
412,4.690300,OK
413,3.858900,OK
414,3.981000,OK
415,3.812900,OK
416,3.808100,OK
417,3.933800,OK
418,4.787400,OK
419,4.638300,OK
420,4.201700,OK
421,3.814500,OK
422,3.914600,OK
423,4.905500,OK
424,4.569000,OK
425,4.603500,OK
426,4.729300,OK
427,4.750300,OK
428,4.813700,OK
429,4.691100,OK
430,4.695200,OK
431,3.912000,OK
432,4.008900,OK
433,4.879200,OK
434,4.523000,OK
435,4.930600,OK
436,4.715500,OK
437,4.783400,OK
438,4.153300,OK
439,4.786700,OK
440,4.711500,OK
441,5.765600,OK
442,4.885300,OK
443,5.180300,OK
444,5.032300,OK
445,4.894400,OK
446,4.948800,OK
447,4.747500,OK
448,4.687400,OK
449,4.486600,OK
450,4.799200,OK
451,4.727500,OK
452,4.750500,OK
453,4.787300,OK
454,4.578600,OK
455,4.583500,OK
456,4.387500,OK
457,4.356900,OK
458,4.196800,OK
459,4.823100,OK
460,5.065600,OK
461,4.656000,OK
462,4.857600,OK
463,4.633300,OK
464,4.859400,OK
465,5.088700,OK
466,4.809500,OK
467,4.771600,OK
468,4.878700,OK
469,4.820000,OK
470,4.819000,OK
471,5.148500,OK
472,4.991000,OK
473,4.369800,OK
474,5.102400,OK
475,4.712400,OK
476,4.807100,OK
477,5.150900,OK
478,5.184500,OK
479,4.880100,OK
480,4.732600,OK
481,5.224300,OK
482,4.661000,OK
483,4.606400,OK
484,4.821200,OK
485,4.626300,OK
486,4.586400,OK
487,4.866800,OK
488,4.837200,OK
489,4.768500,OK
490,5.157200,OK
491,4.633400,OK
492,4.935500,OK
493,4.827600,OK
494,5.035000,OK
495,5.287900,OK
496,5.000100,OK
497,4.547800,OK
498,5.232900,OK
499,4.613400,OK
500,5.832100,OK
501,5.528600,OK
502,4.733600,OK
503,5.108200,OK
504,4.696000,OK
505,4.576600,OK
506,4.796500,OK
507,4.557200,OK
508,5.384200,OK
509,5.684800,OK
510,4.810000,OK
511,5.603500,OK
512,4.676300,OK
513,3.750100,OK
514,4.171800,OK
515,3.793200,OK
516,3.805800,OK
517,4.119800,OK
518,3.817600,OK
519,4.530600,OK
520,3.836400,OK
521,4.643300,OK
522,3.744100,OK
523,3.798700,OK
524,5.675800,OK
525,3.808300,OK
526,3.895200,OK
527,3.957400,OK
528,4.568100,OK
529,4.513900,OK
530,4.557200,OK
531,4.408300,OK
532,4.290400,OK
533,4.149400,OK
534,4.016600,OK
535,4.735700,OK
536,3.962800,OK
537,4.799900,OK
538,4.777200,OK
539,3.917500,OK
540,4.795000,OK
541,4.192800,OK
542,4.003500,OK
543,4.804600,OK
544,4.846900,OK
545,5.159600,OK
546,4.522900,OK
547,4.833300,OK
548,4.090900,OK
549,4.575800,OK
550,4.262800,OK
551,4.949200,OK
552,4.608100,OK
553,4.898300,OK
554,4.644400,OK
555,4.833000,OK
