seq,rtt_ms,status
1,5.157600,OK
2,5.388200,OK
3,5.344800,OK
4,5.207400,OK
5,5.224200,OK
6,4.698200,OK
7,5.202200,OK
8,6.317400,OK
9,5.241100,OK
10,5.634900,OK
11,5.747900,OK
12,5.658800,OK
13,6.138400,OK
14,5.140400,OK
15,5.405000,OK
16,5.561200,OK
17,5.847300,OK
18,5.203100,OK
19,5.861200,OK
20,4.818000,OK
21,5.829300,OK
22,5.081100,OK
23,5.956900,OK
24,5.215700,OK
25,5.631500,OK
26,5.393700,OK
27,5.618700,OK
28,5.127900,OK
29,4.675900,OK
30,5.033700,OK
31,4.449000,OK
32,4.754000,OK
33,4.533600,OK
34,4.686400,OK
35,4.673500,OK
36,4.460300,OK
37,4.354700,OK
38,4.661800,OK
39,4.756700,OK
40,5.108300,OK
41,4.431700,OK
42,5.412100,OK
43,4.486400,OK
44,4.793500,OK
45,4.971100,OK
46,5.930300,OK
47,5.041400,OK
48,5.121600,OK
49,6.283900,OK
50,4.792300,OK
51,4.709300,OK
52,5.263500,OK
53,4.571600,OK
54,5.121600,OK
55,4.401500,OK
56,5.029200,OK
57,5.380500,OK
58,6.356100,OK
59,5.744800,OK
60,5.401800,OK
61,4.994100,OK
62,5.063200,OK
63,4.521200,OK
64,4.723200,OK
65,5.182000,OK
66,4.765900,OK
67,5.036800,OK
68,4.917400,OK
69,5.384100,OK
70,5.262300,OK
71,4.866600,OK
72,5.389400,OK
73,5.588700,OK
74,5.058500,OK
75,6.864800,OK
76,4.789800,OK
77,5.962200,OK
78,6.380700,OK
79,5.663200,OK
80,6.288500,OK
81,6.429900,OK
82,5.731600,OK
83,5.411700,OK
84,5.457900,OK
85,5.103300,OK
86,4.768200,OK
87,5.332200,OK
88,5.418100,OK
89,5.577900,OK
90,5.154700,OK
91,6.232300,OK
92,5.436300,OK
93,5.793500,OK
94,5.637500,OK
95,5.375700,OK
96,5.335800,OK
97,5.852300,OK
98,5.798700,OK
99,5.380200,OK
100,6.102700,OK
