seq,rtt_ms,status
1,4.701700,OK
2,4.284200,OK
3,5.395400,OK
4,4.834100,OK
5,4.742500,OK
6,5.304600,OK
7,6.274000,OK
8,4.778500,OK
9,5.007900,OK
10,4.846100,OK
11,4.659900,OK
12,5.327100,OK
13,4.828900,OK
14,7.370700,OK
15,5.537200,OK
16,5.747400,OK
17,5.669300,OK
18,7.095500,OK
19,4.818400,OK
20,5.181300,OK
21,4.747100,OK
22,5.191700,OK
23,4.988900,OK
24,5.354700,OK
25,5.089300,OK
26,4.671700,OK
27,4.442900,OK
28,5.317000,OK
29,5.185700,OK
30,5.707600,OK
31,6.283200,OK
32,6.060900,OK
33,6.912300,OK
34,5.111000,OK
35,6.648200,OK
36,6.535500,OK
37,6.248200,OK
38,5.742600,OK
39,6.996600,OK
40,6.067400,OK
41,6.535500,OK
42,5.982600,OK
43,6.863500,OK
44,5.138500,OK
45,4.566300,OK
46,4.438700,OK
47,4.130900,OK
48,4.230300,OK
49,4.896800,OK
50,5.027300,OK
51,5.147300,OK
52,5.673300,OK
53,5.899700,OK
54,5.011300,OK
55,5.826900,OK
56,4.311300,OK
57,4.736400,OK
58,4.436000,OK
59,4.822100,OK
60,3.996500,OK
61,4.967500,OK
62,5.502800,OK
63,5.249800,OK
64,5.685700,OK
65,5.577500,OK
66,5.363800,OK
67,4.904300,OK
68,5.067700,OK
69,4.864800,OK
70,4.469000,OK
71,4.759500,OK
72,4.682300,OK
73,4.967100,OK
74,7.511800,OK
75,4.965000,OK
76,4.907200,OK
77,6.091200,OK
78,5.061000,OK
79,4.711400,OK
80,6.704400,OK
81,4.930900,OK
82,5.014500,OK
83,5.313800,OK
84,5.729400,OK
85,5.398200,OK
86,5.476500,OK
87,6.904300,OK
88,5.240700,OK
89,4.487000,OK
90,5.888000,OK
91,7.304800,OK
92,6.273700,OK
93,5.369300,OK
94,6.093700,OK
95,5.428700,OK
96,5.410600,OK
97,5.213500,OK
98,4.684600,OK
99,4.898500,OK
100,5.167900,OK
