seq,uptime_ms,status_flags,legacy_sample,status
18160,1816170,0,,OK
18161,1816270,0,,OK
18162,1816370,0,,OK
18163,1816470,0,,OK
18164,1816570,0,,OK
18165,1816670,0,,OK
18166,1816770,0,,OK
18167,1816870,0,,OK
18168,1816970,0,,OK
18169,1817070,0,,OK
18170,1817170,0,,OK
18171,1817270,0,,OK
18172,1817370,0,,OK
18173,1817470,0,,OK
18174,1817570,0,,OK
18175,1817670,0,,OK
18176,1817770,0,,OK
18177,1817870,0,,OK
18178,1817970,0,,OK
18179,1818070,0,,OK
18180,1818170,0,,OK
18181,1818270,0,,OK
18182,1818370,0,,OK
18183,1818470,0,,OK
18184,1818570,0,,OK
18185,1818670,0,,OK
18186,1818770,0,,OK
18187,1818870,0,,OK
18188,1818970,0,,OK
18189,1819070,0,,OK
18190,1819170,0,,OK
18191,1819270,0,,OK
18192,1819370,0,,OK
18193,1819470,0,,OK
18194,1819570,0,,OK
18195,1819670,0,,OK
18196,1819770,0,,OK
18197,1819870,0,,OK
18198,1819970,0,,OK
18199,1820070,0,,OK
18200,1820170,0,,OK
18201,1820270,0,,OK
18202,1820370,0,,OK
18203,1820470,0,,OK
18204,1820570,0,,OK
18205,1820670,0,,OK
18206,1820770,0,,OK
18207,1820870,0,,OK
18208,1820970,0,,OK
18209,1821070,0,,OK
18210,1821170,0,,OK
18211,1821270,0,,OK
18212,1821370,0,,OK
18213,1821470,0,,OK
18214,1821570,0,,OK
18215,1821670,0,,OK
18216,1821770,0,,OK
18217,1821870,0,,OK
18218,1821970,0,,OK
18219,1822070,0,,OK
18220,1822170,0,,OK
18221,1822270,0,,OK
18222,1822370,0,,OK
18223,1822470,0,,OK
18224,1822570,0,,OK
18225,1822670,0,,OK
18226,1822770,0,,OK
18227,1822870,0,,OK
18228,1822970,0,,OK
18229,1823070,0,,OK
18230,1823170,0,,OK
18231,1823270,0,,OK
18232,1823370,0,,OK
18233,1823470,0,,OK
18234,1823570,0,,OK
18235,1823670,0,,OK
18236,1823770,0,,OK
18237,1823870,0,,OK
18238,1823970,0,,OK
18239,1824070,0,,OK
18240,1824170,0,,OK
18241,1824270,0,,OK
18242,1824370,0,,OK
18243,1824470,0,,OK
18244,1824570,0,,OK
18245,1824670,0,,OK
18246,1824770,0,,OK
18247,1824870,0,,OK
18248,1824970,0,,OK
18249,1825070,0,,OK
18250,1825170,0,,OK
18251,1825270,0,,OK
18252,1825370,0,,OK
18253,1825470,0,,OK
18254,1825570,0,,OK
18255,1825670,0,,OK
18256,1825770,0,,OK
18257,1825871,0,,OK
18258,1825971,0,,OK
18259,1826071,0,,OK
18260,1826171,0,,OK
18261,1826271,0,,OK
18262,1826371,0,,OK
18263,1826471,0,,OK
18264,1826571,0,,OK
18265,1826671,0,,OK
18266,1826771,0,,OK
18267,1826871,0,,OK
18268,1826971,0,,OK
18269,1827071,0,,OK
18270,1827171,0,,OK
18271,1827271,0,,OK
18272,1827371,0,,OK
18273,1827471,0,,OK
18274,1827571,0,,OK
18275,1827671,0,,OK
18276,1827771,0,,OK
18277,1827871,0,,OK
18278,1827971,0,,OK
18279,1828071,0,,OK
18280,1828171,0,,OK
18281,1828271,0,,OK
18282,1828371,0,,OK
18283,1828471,0,,OK
18284,1828571,0,,OK
18285,1828671,0,,OK
18286,1828771,0,,OK
18287,1828871,0,,OK
18288,1828971,0,,OK
18289,1829071,0,,OK
18290,1829171,0,,OK
18291,1829271,0,,OK
18292,1829371,0,,OK
18293,1829471,0,,OK
18294,1829571,0,,OK
18295,1829671,0,,OK
18296,1829771,0,,OK
18297,1829871,0,,OK
18298,1829971,0,,OK
18299,1830071,0,,OK
18300,1830171,0,,OK
18301,1830271,0,,OK
18302,1830371,0,,OK
18303,1830471,0,,OK
18304,1830571,0,,OK
18305,1830671,0,,OK
18306,1830771,0,,OK
18307,1830871,0,,OK
18308,1830971,0,,OK
18309,1831071,0,,OK
18310,1831171,0,,OK
18311,1831271,0,,OK
18312,1831371,0,,OK
18313,1831471,0,,OK
18314,1831571,0,,OK
18315,1831671,0,,OK
18316,1831771,0,,OK
18317,1831871,0,,OK
18318,1831971,0,,OK
18319,1832071,0,,OK
18320,1832171,0,,OK
18321,1832271,0,,OK
18322,1832371,0,,OK
18323,1832471,0,,OK
18324,1832571,0,,OK
18325,1832671,0,,OK
18326,1832771,0,,OK
18327,1832871,0,,OK
18328,1832971,0,,OK
18329,1833071,0,,OK
18330,1833171,0,,OK
18331,1833271,0,,OK
18332,1833371,0,,OK
18333,1833471,0,,OK
18334,1833571,0,,OK
18335,1833671,0,,OK
18336,1833771,0,,OK
18337,1833871,0,,OK
18338,1833971,0,,OK
18339,1834071,0,,OK
18340,1834171,0,,OK
18341,1834271,0,,OK
18342,1834371,0,,OK
18343,1834471,0,,OK
18344,1834571,0,,OK
18345,1834671,0,,OK
18346,1834771,0,,OK
18347,1834871,0,,OK
18348,1834971,0,,OK
18349,1835071,0,,OK
18350,1835171,0,,OK
18351,1835271,0,,OK
18352,1835371,0,,OK
18353,1835471,0,,OK
18354,1835571,0,,OK
18355,1835671,0,,OK
18356,1835771,0,,OK
18357,1835871,0,,OK
18358,1835971,0,,OK
18359,1836071,0,,OK
18360,1836171,0,,OK
18361,1836271,0,,OK
18362,1836371,0,,OK
18363,1836471,0,,OK
18364,1836571,0,,OK
18365,1836671,0,,OK
18366,1836771,0,,OK
18367,1836871,0,,OK
18368,1836971,0,,OK
18369,1837071,0,,OK
18370,1837171,0,,OK
18371,1837271,0,,OK
18372,1837371,0,,OK
18373,1837471,0,,OK
18374,1837571,0,,OK
18375,1837671,0,,OK
18376,1837771,0,,OK
18377,1837871,0,,OK
18378,1837971,0,,OK
18379,1838071,0,,OK
18380,1838171,0,,OK
18381,1838271,0,,OK
18382,1838371,0,,OK
18383,1838471,0,,OK
18384,1838571,0,,OK
18385,1838671,0,,OK
18386,1838771,0,,OK
18387,1838871,0,,OK
18388,1838971,0,,OK
18389,1839071,0,,OK
18390,1839171,0,,OK
18391,1839271,0,,OK
18392,1839371,0,,OK
18393,1839471,0,,OK
18394,1839571,0,,OK
18395,1839671,0,,OK
18396,1839771,0,,OK
18397,1839871,0,,OK
18398,1839971,0,,OK
18399,1840071,0,,OK
18400,1840171,0,,OK
18401,1840271,0,,OK
18402,1840371,0,,OK
18403,1840471,0,,OK
18404,1840571,0,,OK
18405,1840671,0,,OK
18406,1840771,0,,OK
18407,1840871,0,,OK
18408,1840971,0,,OK
18409,1841071,0,,OK
18410,1841171,0,,OK
18411,1841271,0,,OK
18412,1841371,0,,OK
18413,1841471,0,,OK
18414,1841571,0,,OK
18415,1841671,0,,OK
18416,1841771,0,,OK
18417,1841871,0,,OK
18418,1841971,0,,OK
18419,1842071,0,,OK
18420,1842171,0,,OK
18421,1842271,0,,OK
18422,1842371,0,,OK
18423,1842471,0,,OK
18424,1842571,0,,OK
18425,1842671,0,,OK
18426,1842771,0,,OK
18427,1842871,0,,OK
18428,1842971,0,,OK
18429,1843071,0,,OK
18430,1843171,0,,OK
18431,1843271,0,,OK
18432,1843371,0,,OK
18433,1843471,0,,OK
18434,1843571,0,,OK
18435,1843671,0,,OK
18436,1843771,0,,OK
18437,1843871,0,,OK
18438,1843971,0,,OK
18439,1844071,0,,OK
18440,1844171,0,,OK
18441,1844271,0,,OK
18442,1844371,0,,OK
18443,1844471,0,,OK
18444,1844571,0,,OK
18445,1844671,0,,OK
18446,1844771,0,,OK
18447,1844871,0,,OK
18448,1844971,0,,OK
18449,1845071,0,,OK
18450,1845171,0,,OK
18451,1845271,0,,OK
18452,1845371,0,,OK
18453,1845471,0,,OK
18454,1845571,0,,OK
18455,1845671,0,,OK
18456,1845771,0,,OK
18457,1845871,0,,OK
18458,1845971,0,,OK
18459,1846071,0,,OK
18460,1846171,0,,OK
18461,1846271,0,,OK
18462,1846371,0,,OK
18463,1846471,0,,OK
18464,1846571,0,,OK
18465,1846671,0,,OK
18466,1846771,0,,OK
18467,1846871,0,,OK
18468,1846971,0,,OK
18469,1847071,0,,OK
18470,1847171,0,,OK
18471,1847271,0,,OK
18472,1847371,0,,OK
18473,1847471,0,,OK
18474,1847571,0,,OK
18475,1847671,0,,OK
18476,1847771,0,,OK
18477,1847871,0,,OK
18478,1847971,0,,OK
18479,1848071,0,,OK
18480,1848171,0,,OK
18481,1848271,0,,OK
18482,1848371,0,,OK
18483,1848471,0,,OK
18484,1848571,0,,OK
18485,1848671,0,,OK
18486,1848771,0,,OK
18487,1848871,0,,OK
18488,1848971,0,,OK
18489,1849071,0,,OK
18490,1849171,0,,OK
18491,1849271,0,,OK
18492,1849371,0,,OK
18493,1849471,0,,OK
18494,1849571,0,,OK
18495,1849671,0,,OK
18496,1849771,0,,OK
18497,1849871,0,,OK
18498,1849971,0,,OK
18499,1850071,0,,OK
18500,1850171,0,,OK
18501,1850271,0,,OK
18502,1850371,0,,OK
18503,1850471,0,,OK
18504,1850571,0,,OK
18505,1850671,0,,OK
18506,1850771,0,,OK
18507,1850871,0,,OK
18508,1850971,0,,OK
18509,1851071,0,,OK
18510,1851171,0,,OK
18511,1851271,0,,OK
18512,1851371,0,,OK
18513,1851471,0,,OK
18514,1851571,0,,OK
18515,1851671,0,,OK
18516,1851771,0,,OK
18517,1851871,0,,OK
18518,1851971,0,,OK
18519,1852071,0,,OK
18520,1852171,0,,OK
18521,1852271,0,,OK
18522,1852371,0,,OK
18523,1852471,0,,OK
18524,1852571,0,,OK
18525,1852671,0,,OK
18526,1852771,0,,OK
18527,1852871,0,,OK
18528,1852971,0,,OK
18529,1853071,0,,OK
18530,1853171,0,,OK
