seq,rtt_ms,status
1,4.991800,OK
2,5.095400,OK
3,5.855700,OK
4,5.305100,OK
5,4.586900,OK
6,4.975100,OK
7,4.874700,OK
8,5.171600,OK
9,4.378700,OK
10,5.940000,OK
11,4.858900,OK
12,5.051000,OK
13,5.263400,OK
14,5.110100,OK
15,4.880600,OK
16,5.675200,OK
17,4.648100,OK
18,4.370800,OK
19,5.717800,OK
20,5.862400,OK
21,4.954700,OK
22,5.061000,OK
23,5.022400,OK
24,5.214100,OK
25,4.849000,OK
26,5.127800,OK
27,5.705900,OK
28,5.436100,OK
29,5.825200,OK
30,5.616600,OK
31,6.226500,OK
32,5.469200,OK
33,4.944000,OK
34,5.401700,OK
35,5.047500,OK
36,4.568700,OK
37,5.451800,OK
38,6.541700,OK
39,5.593400,OK
40,6.042000,OK
41,5.391600,OK
42,6.071400,OK
43,6.513200,OK
44,5.967500,OK
45,6.695200,OK
46,5.873600,OK
47,6.560500,OK
48,5.844000,OK
49,4.935400,OK
50,7.044400,OK
51,6.527500,OK
52,5.905900,OK
53,5.168300,OK
54,5.023200,OK
55,5.776700,OK
56,5.052200,OK
57,5.677800,OK
58,5.852200,OK
59,5.184900,OK
60,6.060700,OK
61,5.444800,OK
62,5.893400,OK
63,5.740100,OK
64,6.361300,OK
65,5.150800,OK
66,5.495400,OK
67,6.060100,OK
68,5.920900,OK
69,6.147400,OK
70,5.726000,OK
71,4.183100,OK
72,5.002700,OK
73,4.397200,OK
74,5.085000,OK
75,4.672000,OK
76,4.407500,OK
77,4.920700,OK
78,5.533400,OK
79,4.446800,OK
80,4.395700,OK
81,5.713700,OK
82,4.739500,OK
83,5.653500,OK
84,5.168900,OK
85,5.033200,OK
86,5.354000,OK
87,4.354700,OK
88,4.580100,OK
89,4.936400,OK
90,4.504600,OK
91,4.410000,OK
92,5.703400,OK
93,5.633900,OK
94,4.651900,OK
95,4.922300,OK
96,5.383600,OK
97,5.181600,OK
98,5.720200,OK
99,5.526100,OK
100,5.060800,OK
