seq,rtt_ms,status
1,5.003000,OK
2,5.008700,OK
3,5.568100,OK
4,4.875400,OK
5,4.879100,OK
6,4.713200,OK
7,5.519600,OK
8,4.928700,OK
9,6.071600,OK
10,6.117100,OK
11,6.016800,OK
12,6.559400,OK
13,5.349400,OK
14,5.663600,OK
15,5.045100,OK
16,5.472700,OK
17,5.097200,OK
18,4.938400,OK
19,5.941400,OK
20,8.388200,OK
21,5.589200,OK
22,5.676900,OK
23,4.729400,OK
24,4.746000,OK
25,5.816400,OK
26,5.313200,OK
27,5.487400,OK
28,4.858300,OK
29,4.962500,OK
30,5.597700,OK
31,5.498500,OK
32,5.039600,OK
33,5.963700,OK
34,5.070600,OK
35,5.464800,OK
36,6.636300,OK
37,6.798100,OK
38,5.219400,OK
39,4.990200,OK
40,4.729100,OK
41,5.428600,OK
42,4.519500,OK
43,5.433200,OK
44,4.526200,OK
45,5.042700,OK
46,5.009300,OK
47,4.474600,OK
48,5.324900,OK
49,4.591700,OK
50,5.636300,OK
51,5.580900,OK
52,4.487600,OK
53,4.547800,OK
54,5.538100,OK
55,5.639500,OK
56,4.652300,OK
57,5.544200,OK
58,5.044400,OK
59,4.542800,OK
60,5.696400,OK
61,5.360000,OK
62,5.692900,OK
63,5.118100,OK
64,4.629000,OK
65,4.768600,OK
66,4.508300,OK
67,5.057400,OK
68,5.362800,OK
69,6.081000,OK
70,5.197300,OK
71,6.223500,OK
72,4.698300,OK
73,4.814700,OK
74,5.466600,OK
75,5.836500,OK
76,5.148500,OK
77,4.759800,OK
78,5.281800,OK
79,4.989300,OK
80,6.043100,OK
81,5.113000,OK
82,5.290500,OK
83,5.464600,OK
84,6.182100,OK
85,5.151200,OK
86,6.070000,OK
87,5.247900,OK
88,6.283600,OK
89,4.912800,OK
90,5.213800,OK
91,5.555800,OK
92,4.707800,OK
93,4.820000,OK
94,5.290700,OK
95,5.385400,OK
96,4.932500,OK
97,5.282700,OK
98,5.512600,OK
99,5.461800,OK
100,5.226900,OK
